cell_type,mean_spatial_coupling,mean_rb_coupling,n_spatial_partners,n_rb_partners,marker_tfs
gdT2_GZMH,0.8386158709419852,0.8418713432538405,60,68,"HSF1, JUN, SOX13, EGR1, STAT4"
cMono_IFI44L,0.836483242003416,0.7936033253081833,60,68,"EGR1, HLX, MITF, JUNB, VENTX"
cMono_CXCL10,0.836483242003416,0.767147245352901,60,68,"EGR1, MITF, JUNB, VENTX, HLX"
cMono_CD14,0.836483242003416,0.8131405368320385,60,68,"EGR1, HLX, MITF, JUNB, VENTX"
Switched_activated_Bm_CD86,0.8326704316901445,0.8312928133855324,60,68,"HSF1, EGR1, PATZ1, KLF9, RELB"
cMono_IL1B,0.825646143783379,0.7832484995862545,60,68,"EGR1, HLX, JUNB, MITF, EGR3"
Proliferative_NK_MKI67,0.7906536072754273,0.8034221739292522,60,68,"ASCL2, JUN, PATZ1, SOX13, EGR1"
CD8_CTL_IFI44L,0.7734321800400584,0.834493404382206,60,68,"JUN, KLF9, HSF1, ZEB1, PATZ1"
CD4_Tr1_IL10,0.7734321800400584,0.8503365268054617,60,46,"HSF1, KLF9, ZEB1, PATZ1, JUN"
CD4_Treg_FOXP3,0.7734321800400584,0.8374262043622431,60,68,"HSF1, KLF9, ZEB1, JUN, PATZ1"
gdT1_TRDV1,0.7734321800400583,0.8304053055826784,60,68,"KLF9, HSF1, JUN, PATZ1, ZEB1"
CD8_CTL_GZMB,0.7646990796479004,0.8368702042325432,60,68,"HSF1, STAT4, SOX13, JUN, KLF9"
Terminal_NK_dim_CD160neg,0.7402154776054314,0.8192747228183462,60,68,"ZNF91, STAT4, SOX13, JUN, HSF1"
Plasma_IGHG1,0.7390793906642855,0.7882965641382578,60,68,"HSF1, KLF9, PATZ1, XBP1, ZEB1"
Plasmablast_MKI67,0.7083946948568246,0.7173330098263784,60,68,"PATZ1, HSF1, KLF9, MYBL2, PHF1"
NKT_NCR1,0.7003458008074636,0.8361705565475952,60,68,"SOX13, ASCL2, GFI1, STAT4, HSF1"
CD8_Tn_CCR7,0.6990526316554251,0.8372507532454394,60,68,"KLF9, HSF1, PATZ1, ZEB1, ZNF101"
CD4_Tn_CCR7,0.6990526316554249,0.8355678702807481,60,68,"KLF9, HSF1, PATZ1, ZEB1, ZNF101"
CD4_Treg_FCRL3,0.6856617312800845,0.8336017052974399,60,68,"KLF9, HSF1, PATZ1, ZEB1, PHF1"
CD8_Tcm_IFI44L,0.6856617312800845,0.8398296612827276,60,68,"KLF9, HSF1, PATZ1, ZEB1, PHF1"
Mature_NK_dim_FCGR3A,0.6466047648698612,0.8308167164979314,60,68,"SOX13, STAT4, ASCL2, BNC2, JUN"
__MANTEL_TEST__,0.14245291369549706,0.0001,1696,59,permutations=9999
