Region,Gene,TF,region_chr,region_start,region_end,locus_id,n_active_celltypes,tf_stability
chr1:151888926-151889427,MRPL9,MBD1,1.0,151888926.0,151889427.0,AD_locus_1,36,not_in_TOPPLE
chr1:151821982-151822483,RORC,MYC,1.0,151821982.0,151822483.0,AD_locus_1,8,stabilizer
chr1:151825958-151826459,C2CD4D,MYC,1.0,151825958.0,151826459.0,AD_locus_1,25,stabilizer
chr1:151838594-151839095,C2CD4D,MYC,1.0,151838594.0,151839095.0,AD_locus_1,32,stabilizer
chr1:151821982-151822483,C2CD4D,MYC,1.0,151821982.0,151822483.0,AD_locus_1,8,stabilizer
chr1:151827789-151828290,THEM4,NFKB1,1.0,151827789.0,151828290.0,AD_locus_1,12,not_in_TOPPLE
chr1:151819383-151819884,LINGO4,NR1D1,1.0,151819383.0,151819884.0,AD_locus_1,2,destabilizer
chr1:151827789-151828290,LINGO4,NR1D1,1.0,151827789.0,151828290.0,AD_locus_1,12,destabilizer
chr1:151815665-151816166,LINGO4,NR1D1,1.0,151815665.0,151816166.0,AD_locus_1,39,destabilizer
chr1:151819383-151819884,RORC,NR1D1,1.0,151819383.0,151819884.0,AD_locus_1,2,destabilizer
chr1:151827789-151828290,RORC,NR1D1,1.0,151827789.0,151828290.0,AD_locus_1,12,destabilizer
chr1:151827789-151828290,C2CD4D,NR1D1,1.0,151827789.0,151828290.0,AD_locus_1,12,destabilizer
chr1:151830625-151831126,LINGO4,NR1D2,1.0,151830625.0,151831126.0,AD_locus_1,59,stabilizer
chr1:151825958-151826459,LINGO4,NR1D2,1.0,151825958.0,151826459.0,AD_locus_1,25,stabilizer
chr1:151828388-151828889,TDRKH,RELA,1.0,151828388.0,151828889.0,AD_locus_1,10,not_in_TOPPLE
chr1:151821982-151822483,LINGO4,RORA,1.0,151821982.0,151822483.0,AD_locus_1,8,intermediate
chr1:152002882-152003383,S100A10,SNAI1,1.0,152002882.0,152003383.0,AD_locus_1,1,not_in_TOPPLE
chr1:151839653-151840154,C2CD4D,SP4,1.0,151839653.0,151840154.0,AD_locus_1,58,intermediate
chr1:151836400-151836901,C2CD4D,SP4,1.0,151836400.0,151836901.0,AD_locus_1,59,intermediate
chr11:76831611-76832112,ACER3,ARID3A,11.0,76831611.0,76832112.0,AD_locus_2,4,intermediate
chr11:76857688-76858189,ACER3,ARID3A,11.0,76857688.0,76858189.0,AD_locus_2,12,intermediate
chr11:76836236-76836737,ACER3,ARID3A,11.0,76836236.0,76836737.0,AD_locus_2,7,intermediate
chr11:76200033-76200534,THAP12,ATF1,11.0,76200033.0,76200534.0,AD_locus_2,17,not_in_TOPPLE
chr11:76823659-76824160,ACER3,ATF5,11.0,76823659.0,76824160.0,AD_locus_2,13,intermediate
chr11:76628364-76628865,LRRC32,BACH1,11.0,76628364.0,76628865.0,AD_locus_2,11,intermediate
chr11:76560135-76560636,LRRC32,BACH1,11.0,76560135.0,76560636.0,AD_locus_2,18,intermediate
chr11:76885318-76885819,ACER3,BATF3,11.0,76885318.0,76885819.0,AD_locus_2,9,intermediate
chr11:76839179-76839680,ACER3,BATF3,11.0,76839179.0,76839680.0,AD_locus_2,10,intermediate
chr11:76732594-76733095,ACER3,BCL11A,11.0,76732594.0,76733095.0,AD_locus_2,5,intermediate
chr11:77037985-77038486,ACER3,BCL11A,11.0,77037985.0,77038486.0,AD_locus_2,13,intermediate
chr11:76768389-76768890,ACER3,BCL11A,11.0,76768389.0,76768890.0,AD_locus_2,39,intermediate
chr11:76856046-76856547,ACER3,BCL11A,11.0,76856046.0,76856547.0,AD_locus_2,7,intermediate
chr11:76868215-76868716,ACER3,BCL11A,11.0,76868215.0,76868716.0,AD_locus_2,17,intermediate
chr11:76844453-76844954,ACER3,CEBPA,11.0,76844453.0,76844954.0,AD_locus_2,3,intermediate
chr11:77038710-77039211,MYO7A,CEBPA,11.0,77038710.0,77039211.0,AD_locus_2,15,intermediate
chr11:76863145-76863646,ACER3,CEBPD,11.0,76863145.0,76863646.0,AD_locus_2,14,intermediate
chr11:76200033-76200534,WNT11,CREM,11.0,76200033.0,76200534.0,AD_locus_2,17,stabilizer
chr11:76566716-76567217,EMSY,CTCF,11.0,76566716.0,76567217.0,AD_locus_2,5,not_in_TOPPLE
chr11:76380192-76380693,EMSY,CTCF,11.0,76380192.0,76380693.0,AD_locus_2,43,not_in_TOPPLE
chr11:76642257-76642758,EMSY,CTCF,11.0,76642257.0,76642758.0,AD_locus_2,29,not_in_TOPPLE
chr11:76672543-76673044,EMSY,CTCF,11.0,76672543.0,76673044.0,AD_locus_2,52,not_in_TOPPLE
chr11:76513112-76513613,EMSY,CTCF,11.0,76513112.0,76513613.0,AD_locus_2,10,not_in_TOPPLE
chr11:76606927-76607428,EMSY,ELF1,11.0,76606927.0,76607428.0,AD_locus_2,9,intermediate
chr11:76236116-76236617,THAP12,ELF1,11.0,76236116.0,76236617.0,AD_locus_2,28,intermediate
chr11:76288117-76288618,THAP12,ELF1,11.0,76288117.0,76288618.0,AD_locus_2,16,intermediate
chr11:76235173-76235674,THAP12,ELF1,11.0,76235173.0,76235674.0,AD_locus_2,63,intermediate
chr11:76232078-76232579,THAP12,ELF1,11.0,76232078.0,76232579.0,AD_locus_2,20,intermediate
chr11:76629451-76629952,LRRC32,ELK3,11.0,76629451.0,76629952.0,AD_locus_2,58,intermediate
chr11:76588416-76588917,LRRC32,ELK3,11.0,76588416.0,76588917.0,AD_locus_2,41,intermediate
chr11:76664650-76665151,LRRC32,ELK3,11.0,76664650.0,76665151.0,AD_locus_2,35,intermediate
chr11:76637388-76637889,LRRC32,ELK3,11.0,76637388.0,76637889.0,AD_locus_2,27,intermediate
chr11:76627458-76627959,LRRC32,ELK3,11.0,76627458.0,76627959.0,AD_locus_2,7,intermediate
chr11:76630146-76630647,LRRC32,ELK3,11.0,76630146.0,76630647.0,AD_locus_2,32,intermediate
chr11:76288117-76288618,GVQW3,ELK4,11.0,76288117.0,76288618.0,AD_locus_2,16,intermediate
chr11:76494982-76495483,EMSY,ETS1,11.0,76494982.0,76495483.0,AD_locus_2,18,stabilizer
chr11:76494982-76495483,THAP12,ETS1,11.0,76494982.0,76495483.0,AD_locus_2,18,stabilizer
chr11:77034077-77034578,ACER3,ETS2,11.0,77034077.0,77034578.0,AD_locus_2,10,intermediate
chr11:77039728-77040229,ACER3,ETS2,11.0,77039728.0,77040229.0,AD_locus_2,29,intermediate
chr11:77034983-77035484,ACER3,ETS2,11.0,77034983.0,77035484.0,AD_locus_2,9,intermediate
chr11:77034077-77034578,MYO7A,FOS,11.0,77034077.0,77034578.0,AD_locus_2,10,intermediate
chr11:76288117-76288618,WNT11,FOSL2,11.0,76288117.0,76288618.0,AD_locus_2,16,intermediate
chr11:77067313-77067814,CAPN5,HOXB4,11.0,77067313.0,77067814.0,AD_locus_2,44,not_in_TOPPLE
chr11:76610948-76611449,LRRC32,IKZF2,11.0,76610948.0,76611449.0,AD_locus_2,20,destabilizer
chr11:76153269-76153770,WNT11,IKZF2,11.0,76153269.0,76153770.0,AD_locus_2,32,destabilizer
chr11:76152676-76153177,WNT11,IKZF2,11.0,76152676.0,76153177.0,AD_locus_2,25,destabilizer
chr11:76293064-76293565,UVRAG,IRF8,11.0,76293064.0,76293565.0,AD_locus_2,10,destabilizer
chr11:76208651-76209152,THAP12,KLF12,11.0,76208651.0,76209152.0,AD_locus_2,57,intermediate
chr11:76207467-76207968,THAP12,KLF12,11.0,76207467.0,76207968.0,AD_locus_2,57,intermediate
chr11:76206266-76206767,THAP12,KLF12,11.0,76206266.0,76206767.0,AD_locus_2,42,intermediate
chr11:76337423-76337924,THAP12,KLF12,11.0,76337423.0,76337924.0,AD_locus_2,5,intermediate
chr11:76380192-76380693,THAP12,KLF13,11.0,76380192.0,76380693.0,AD_locus_2,43,not_in_TOPPLE
chr11:76337423-76337924,EMSY,KLF13,11.0,76337423.0,76337924.0,AD_locus_2,5,not_in_TOPPLE
chr11:76209980-76210481,WNT11,KLF3,11.0,76209980.0,76210481.0,AD_locus_2,1,stabilizer
chr11:76210546-76211047,WNT11,KLF3,11.0,76210546.0,76211047.0,AD_locus_2,25,stabilizer
chr11:76161247-76161748,WNT11,KLF3,11.0,76161247.0,76161748.0,AD_locus_2,20,stabilizer
chr11:76232078-76232579,WNT11,KLF3,11.0,76232078.0,76232579.0,AD_locus_2,20,stabilizer
chr11:76209306-76209807,WNT11,KLF3,11.0,76209306.0,76209807.0,AD_locus_2,29,stabilizer
chr11:76206266-76206767,WNT11,KLF3,11.0,76206266.0,76206767.0,AD_locus_2,42,stabilizer
chr11:76152086-76152587,WNT11,MXI1,11.0,76152086.0,76152587.0,AD_locus_2,53,intermediate
chr11:76667441-76667942,EMSY,NFATC3,11.0,76667441.0,76667942.0,AD_locus_2,3,intermediate
chr11:76337423-76337924,WNT11,NR1D1,11.0,76337423.0,76337924.0,AD_locus_2,5,destabilizer
chr11:77072957-77073458,CAPN5,PLAG1,11.0,77072957.0,77073458.0,AD_locus_2,21,destabilizer
chr11:77082760-77083261,CAPN5,PLAG1,11.0,77082760.0,77083261.0,AD_locus_2,45,destabilizer
chr11:77073511-77074012,CAPN5,PLAG1,11.0,77073511.0,77074012.0,AD_locus_2,16,destabilizer
chr11:77046926-77047427,CAPN5,RUNX3,11.0,77046926.0,77047427.0,AD_locus_2,48,intermediate
chr11:76825827-76826328,ACER3,RXRA,11.0,76825827.0,76826328.0,AD_locus_2,1,intermediate
chr11:76810152-76810653,ACER3,RXRA,11.0,76810152.0,76810653.0,AD_locus_2,15,intermediate
chr11:77047523-77048024,CAPN5,SREBF1,11.0,77047523.0,77048024.0,AD_locus_2,62,not_in_TOPPLE
chr11:77071932-77072433,CAPN5,TBX21,11.0,77071932.0,77072433.0,AD_locus_2,16,intermediate
chr11:76232078-76232579,GVQW3,TCF7,11.0,76232078.0,76232579.0,AD_locus_2,20,stabilizer
chr11:76277760-76278261,UVRAG,USF2,11.0,76277760.0,76278261.0,AD_locus_2,8,not_in_TOPPLE
chr11:76293064-76293565,THAP12,YY1,11.0,76293064.0,76293565.0,AD_locus_2,10,not_in_TOPPLE
chr11:77037985-77038486,MYO7A,ZNF467,11.0,77037985.0,77038486.0,AD_locus_2,13,intermediate
chr2:102142461-102142962,IL1R1,AHR,2.0,102142461.0,102142962.0,AD_locus_3,18,intermediate
chr2:101909672-101910173,MAP4K4,ARID3A,2.0,101909672.0,101910173.0,AD_locus_3,22,intermediate
chr2:102006201-102006702,MAP4K4,ARID3A,2.0,102006201.0,102006702.0,AD_locus_3,26,intermediate
chr2:102020541-102021042,MAP4K4,ARID3A,2.0,102020541.0,102021042.0,AD_locus_3,56,intermediate
chr2:101900260-101900761,MAP4K4,ARID3A,2.0,101900260.0,101900761.0,AD_locus_3,22,intermediate
chr2:102033373-102033874,MAP4K4,ARID3A,2.0,102033373.0,102033874.0,AD_locus_3,37,intermediate
chr2:101883812-101884313,MAP4K4,ARID3A,2.0,101883812.0,101884313.0,AD_locus_3,37,intermediate
chr2:102013143-102013644,MAP4K4,ARID3A,2.0,102013143.0,102013644.0,AD_locus_3,5,intermediate
chr2:101991580-101992081,MAP4K4,ARID3A,2.0,101991580.0,101992081.0,AD_locus_3,23,intermediate
chr2:101957995-101958496,MAP4K4,ARID3A,2.0,101957995.0,101958496.0,AD_locus_3,8,intermediate
chr2:102104307-102104808,IL1RL2,ATF3,2.0,102104307.0,102104808.0,AD_locus_3,48,intermediate
chr2:102064161-102064662,IL1RL2,ATF3,2.0,102064161.0,102064662.0,AD_locus_3,17,intermediate
chr2:102273767-102274268,IL1RL2,ATF3,2.0,102273767.0,102274268.0,AD_locus_3,20,intermediate
chr2:102238292-102238793,IL1RL2,ATF3,2.0,102238292.0,102238793.0,AD_locus_3,14,intermediate
chr2:102041274-102041775,IL1RL2,ATF3,2.0,102041274.0,102041775.0,AD_locus_3,12,intermediate
chr2:102094889-102095390,IL1RL2,ATF3,2.0,102094889.0,102095390.0,AD_locus_3,12,intermediate
chr2:102282693-102283194,IL1RL2,ATF3,2.0,102282693.0,102283194.0,AD_locus_3,15,intermediate
chr2:102053003-102053504,IL1RL2,ATF3,2.0,102053003.0,102053504.0,AD_locus_3,10,intermediate
chr2:102081570-102082071,IL1RL2,ATF3,2.0,102081570.0,102082071.0,AD_locus_3,7,intermediate
chr2:102041274-102041775,MAP4K4,ATF4,2.0,102041274.0,102041775.0,AD_locus_3,12,stabilizer
chr2:102368361-102368862,IL18R1,BHLHE40,2.0,102368361.0,102368862.0,AD_locus_3,15,intermediate
chr2:102434948-102435449,IL18R1,BHLHE40,2.0,102434948.0,102435449.0,AD_locus_3,12,intermediate
chr2:102358432-102358933,IL18R1,BHLHE40,2.0,102358432.0,102358933.0,AD_locus_3,6,intermediate
chr2:102358432-102358933,IL18RAP,BHLHE40,2.0,102358432.0,102358933.0,AD_locus_3,6,intermediate
chr2:102368361-102368862,IL18RAP,BHLHE40,2.0,102368361.0,102368862.0,AD_locus_3,15,intermediate
chr2:102355494-102355995,IL18RAP,BHLHE40,2.0,102355494.0,102355995.0,AD_locus_3,61,intermediate
chr2:102434948-102435449,IL18RAP,BHLHE40,2.0,102434948.0,102435449.0,AD_locus_3,12,intermediate
chr2:102489632-102490133,IL18RAP,BHLHE40,2.0,102489632.0,102490133.0,AD_locus_3,20,intermediate
chr2:102358432-102358933,IL1RL1,BHLHE40,2.0,102358432.0,102358933.0,AD_locus_3,6,intermediate
chr2:102368361-102368862,IL1RL1,BHLHE40,2.0,102368361.0,102368862.0,AD_locus_3,15,intermediate
chr2:102127933-102128434,IL1RL2,CEBPD,2.0,102127933.0,102128434.0,AD_locus_3,8,intermediate
chr2:102063425-102063926,IL1RL2,CEBPD,2.0,102063425.0,102063926.0,AD_locus_3,13,intermediate
chr2:102241912-102242413,IL1RL2,CEBPD,2.0,102241912.0,102242413.0,AD_locus_3,3,intermediate
chr2:102049914-102050415,IL1RL2,CEBPD,2.0,102049914.0,102050415.0,AD_locus_3,8,intermediate
chr2:102269062-102269563,IL1RL2,CEBPD,2.0,102269062.0,102269563.0,AD_locus_3,8,intermediate
chr2:101961296-101961797,IL1R2,CEBPD,2.0,101961296.0,101961797.0,AD_locus_3,24,intermediate
chr2:102155801-102156302,IL1R2,CEBPD,2.0,102155801.0,102156302.0,AD_locus_3,10,intermediate
chr2:102053003-102053504,IL1R2,CEBPD,2.0,102053003.0,102053504.0,AD_locus_3,10,intermediate
chr2:102094889-102095390,IL1R2,CEBPD,2.0,102094889.0,102095390.0,AD_locus_3,12,intermediate
chr2:102432893-102433394,IL18RAP,CEBPD,2.0,102432893.0,102433394.0,AD_locus_3,11,intermediate
chr2:102436183-102436684,IL18RAP,CEBPD,2.0,102436183.0,102436684.0,AD_locus_3,28,intermediate
chr2:102417046-102417547,IL18RAP,CREM,2.0,102417046.0,102417547.0,AD_locus_3,2,stabilizer
chr2:102522825-102523326,IL18RAP,CREM,2.0,102522825.0,102523326.0,AD_locus_3,21,stabilizer
chr2:102253321-102253822,IL18R1,CREM,2.0,102253321.0,102253822.0,AD_locus_3,17,stabilizer
chr2:102276782-102277283,IL18R1,CREM,2.0,102276782.0,102277283.0,AD_locus_3,12,stabilizer
chr2:102417856-102418357,IL18R1,CREM,2.0,102417856.0,102418357.0,AD_locus_3,43,stabilizer
chr2:101990002-101990503,IL1R2,EHF,2.0,101990002.0,101990503.0,AD_locus_3,16,destabilizer
chr2:101957995-101958496,IL1R2,EHF,2.0,101957995.0,101958496.0,AD_locus_3,8,destabilizer
chr2:102057525-102058026,IL1R2,EHF,2.0,102057525.0,102058026.0,AD_locus_3,7,destabilizer
chr2:102104307-102104808,IL1R2,EHF,2.0,102104307.0,102104808.0,AD_locus_3,48,destabilizer
chr2:102803254-102803755,TMEM182,ELF1,2.0,102803254.0,102803755.0,AD_locus_3,23,intermediate
chr2:102736617-102737118,TMEM182,ELF1,2.0,102736617.0,102737118.0,AD_locus_3,61,intermediate
chr2:102749884-102750385,TMEM182,ELF1,2.0,102749884.0,102750385.0,AD_locus_3,9,intermediate
chr2:102749884-102750385,MFSD9,ELF1,2.0,102749884.0,102750385.0,AD_locus_3,9,intermediate
chr2:102736617-102737118,MFSD9,ELF1,2.0,102736617.0,102737118.0,AD_locus_3,61,intermediate
chr2:101990002-101990503,MAP4K4,ELF2,2.0,101990002.0,101990503.0,AD_locus_3,16,not_in_TOPPLE
chr2:102012185-102012686,MAP4K4,ELF2,2.0,102012185.0,102012686.0,AD_locus_3,3,not_in_TOPPLE
chr2:101972789-101973290,MAP4K4,ELF2,2.0,101972789.0,101973290.0,AD_locus_3,9,not_in_TOPPLE
chr2:102010964-102011465,MAP4K4,ELF2,2.0,102010964.0,102011465.0,AD_locus_3,19,not_in_TOPPLE
chr2:101921545-101922046,MAP4K4,ELF2,2.0,101921545.0,101922046.0,AD_locus_3,26,not_in_TOPPLE
chr2:102269062-102269563,IL1R1,ELK3,2.0,102269062.0,102269563.0,AD_locus_3,8,intermediate
chr2:102187281-102187782,IL1R1,ELK3,2.0,102187281.0,102187782.0,AD_locus_3,29,intermediate
chr2:102293122-102293623,IL1R1,ELK3,2.0,102293122.0,102293623.0,AD_locus_3,2,intermediate
chr2:102241912-102242413,IL1R1,ELK3,2.0,102241912.0,102242413.0,AD_locus_3,3,intermediate
chr2:102253321-102253822,IL1RL1,ELK3,2.0,102253321.0,102253822.0,AD_locus_3,17,intermediate
chr2:102356047-102356548,IL1RL1,ELK3,2.0,102356047.0,102356548.0,AD_locus_3,58,intermediate
chr2:102432893-102433394,IL18R1,EOMES,2.0,102432893.0,102433394.0,AD_locus_3,11,intermediate
chr2:102399730-102400231,IL18R1,EOMES,2.0,102399730.0,102400231.0,AD_locus_3,8,intermediate
chr2:102252715-102253216,IL18R1,EOMES,2.0,102252715.0,102253216.0,AD_locus_3,8,intermediate
chr2:102436183-102436684,IL18R1,EOMES,2.0,102436183.0,102436684.0,AD_locus_3,28,intermediate
chr2:102301808-102302309,IL18R1,EOMES,2.0,102301808.0,102302309.0,AD_locus_3,60,intermediate
chr2:102262641-102263142,IL18R1,EOMES,2.0,102262641.0,102263142.0,AD_locus_3,19,intermediate
chr2:102264689-102265190,IL18R1,EOMES,2.0,102264689.0,102265190.0,AD_locus_3,11,intermediate
chr2:102427164-102427665,IL18RAP,EOMES,2.0,102427164.0,102427665.0,AD_locus_3,11,intermediate
chr2:102399730-102400231,IL18RAP,EOMES,2.0,102399730.0,102400231.0,AD_locus_3,8,intermediate
chr2:102012185-102012686,IL1R2,ETS2,2.0,102012185.0,102012686.0,AD_locus_3,3,intermediate
chr2:102187281-102187782,IL1RL2,FOS,2.0,102187281.0,102187782.0,AD_locus_3,29,intermediate
chr2:102601669-102602170,MFSD9,IKZF1,2.0,102601669.0,102602170.0,AD_locus_3,4,intermediate
chr2:102271814-102272315,IL1RL1,IKZF2,2.0,102271814.0,102272315.0,AD_locus_3,28,destabilizer
chr2:102619396-102619897,MFSD9,KLF13,2.0,102619396.0,102619897.0,AD_locus_3,15,not_in_TOPPLE
chr2:101912542-101913043,MAP4K4,KLF7,2.0,101912542.0,101913043.0,AD_locus_3,23,intermediate
